rid,fid,lid_1,graph_1,ori_graph_1,lid_2,graph_2,ori_graph_2,cat_1,ori_cat_1,cat_2,ori_cat_2,ori_cple,type_cstr_1,cstr_1,ori_cstr_1,type_cstr_2,cstr_2,ori_cstr_2,complexite,ori_complexite,orientation,ori_orientation,semty_1,ori_semty_1,semty_2,ori_semty_2,sous_semty_1,sous_semty_2,ori_sous_semty_1,ori_sous_semty_2,semtyrss_1,semtyrss_2,ori_semtyrss_1,ori_semtyrss_2,rel_sem_n_1,rel_sem_n_2,ori_relsem,def_conc,ori_def_conc,def_abs,ori_def_abs,commentaires,phon_aff_1,phon_aff_2,phon_stem_1,phon_stem_2,similarity,generalization_1,generalization_2,sim_phon_1,sim_phon_2,comparison,variation_type,generalization_1_mod,generalization_2_mod,sim_phon_1_mod,sim_phon_2_mod,labels_1,labels_2,cstr_1_mod,cstr_2_mod,phon_aff_1_mod,phon_aff_2_mod,orientation_mod
r6116,f76349,l89920,abandonneur,tlfnome,l89919,abandonner,tlfnome,Nm,tlfnome,V,tlfnome,derif,suf,Xeur,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,ab??d?n;ab??d?n,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xeur,X,.??,,des2as
r6120,f76349,l89921,abandonneuse,tlfnome,l89919,abandonner,tlfnome,Nf,tlfnome,V,tlfnome,derif,suf,Xeuse,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.?z,,ab??d?n;ab??d?n,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xeuse,X,.?z,,des2as
r6108,f76349,l89916,abandonnateur,tlfnome,l89919,abandonner,tlfnome,Nm,tlfnome,V,tlfnome,derif,suf,Xeur,nouveau,,X,nouveau,simple,demonette1,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.??,,ab??d?nat;ab??d?nat,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.625, 0.625, 0.625, 0.625, 0.75, 0.75, 0.625, 0.625]",X??Yat,X’Y,ab??d?nat,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n;- a;- t,? neutraliser,Xat,X,ab??d?nat,ab??d?n,Nm:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xeur,X,.??,,des2as
r187384,f76349,l89914,abandonnataire,dimoc,l89919,abandonner,dimoc,Nf,nouveau,V,dimoc,dimoc,suf,Xataire,nouveau,,X,nouveau,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.at??,,ab’don;ab’don,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",XoY,X?Y,ab’don,ab’d?n,  a;  b;  ’;  d;- o;+ ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nf:,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Xataire,X,.at??,,des2as
r93305,f76349,l89912,abandon,denom,l89922,abandonnique,denom,Nm,denom,Adj,denom,denom,,X,denom,suf,Xique,denom,simple,nouveau,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.ik,ab’d??;ab’d??,ab’d?n;ab’d?n,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",X?,Xn,ab’d??,ab’d?n,  a;  b;  ’;  d;  ?;- ?;+ n,l?gitime,X?,Xn,ab??d??,ab??d?n,Nm:,Adj:,X,Xique,,.ik,as2des
r93304,f76349,l89922,abandonnique,denom,l89912,abandon,denom,Adj,denom,Nm,denom,denom,suf,Xique,denom,,X,denom,simple,nouveau,des2as,nouveau,,,,,,,,,,,,,,,,,,,,,.ik,,ab’d?n;ab’d?n,ab’d??;ab’d??,"[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",Xn,X?,ab’d?n,ab’d??,  a;  b;  ’;  d;  ?;- n;+ ?,l?gitime,Xn,X?,ab??d?n,ab??d??,Adj:,Nm:,Xique,X,.ik,,des2as
r6109,f76349,l89919,abandonner,tlfnome,l89916,abandonnateur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,ab??d?nat;ab??d?nat,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.625, 0.625, 0.75, 0.625, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.625, 0.625, 0.75, 0.625]",X’Y,X??Yt,ab’d?na,ab??d?nat,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n;  a;+ t,? neutraliser,X,Xat,ab??d?n,ab??d?nat,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
r6105,f76349,l89920,abandonneur,tlfnome,l89918,abandonnement,tlfnome,Nm,tlfnome,Nm,tlfnome,morphonette,suf,Xeur,nouveau,suf,Xment,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.??,.m’,ab??d?n;ab??d?n,ab’d?n;ab’d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nm:,Nm:,Xeur,Xment,.??,.m??,indirect
r6107,f76349,l89921,abandonneuse,tlfnome,l89918,abandonnement,tlfnome,Nf,tlfnome,Nm,tlfnome,morphonette,suf,Xeuse,nouveau,suf,Xment,nouveau,simple,demonette1,indirect,demonette1,,,,,,,,,,,,,,,,,,,,,.?z,.m’,ab??d?n;ab??d?n,ab’d?n;ab’d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693]",X??Y,X’Y,ab??d?n,ab’d?n,  a;  b;+ ’;- ?;- ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Nf:,Nm:,Xeuse,Xment,.?z,.m??,indirect
r6117,f76349,l89919,abandonner,tlfnome,l89920,abandonneur,tlfnome,V,tlfnome,Nm,tlfnome,derif,,X,nouveau,suf,Xeur,nouveau,simple,demonette1,as2des,nouveau,,,,,,,,,,,,,,,,,,,,,,.??,ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?n;ab’d?ne;ab’d?n?;ab’d?na;ab’d?ne,ab??d?n;ab??d?n,"[0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",X’Y,X??Y,ab’d?n,ab??d?n,  a;  b;- ’;+ ?;+ ?;  d;  ?;  n,? neutraliser,X,X,ab??d?n,ab??d?n,Vmii---:;Vmip3p-:;Vmip-s-:;Vmpp---:;Vmmp-s-:;Vmmp-p-:;Vmsp-s-:;Vmsp-p-:;Vmn----:;Vmif---:;Vmis---:;Vmps---:,Nm:,X,Xeur,,.??,as2des
